,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
42,ASUS 비보북 X1502VA-BQ079,미포함(프리도스),인텔 / 코어i5-13세대 / i5-13500H (2.6GHz) / 12코어(4P+8E),DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / Iris Xe,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,1.7,USB-PD,22988.0,1102.0,15.6,141.0,250.0,60.0,ASUS,5.362672698795193,736.63086521912,728000.0
43,ASUS 비보북 X1502VA-BQ079 16GB램,미포함(프리도스),인텔 / 코어i5-13세대 / i5-13500H (2.6GHz) / 12코어(4P+8E),DR4 / 램 용량: 16GB / 램 교체: 가능(1슬롯),내장그래픽 / Iris Xe,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,1.7,USB-PD,22988.0,1102.0,15.6,141.0,250.0,60.0,ASUS,5.402995279440354,695.7243470821986,776600.0
44,ASUS 비보북 고 15 E1504FA-BQ494,미포함(프리도스),AMD / 라이젠5(Zen2) / 7520U (2.8GHz) / 쿼드(4)코어,PDDR5(온보드) / 램 용량: 16GB / 5500MHz / 램 교체: 불가능,내장그래픽 / Radeon 610M,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.63,,9699.0,537.0,15.6,141.0,250.0,60.0,ASUS,5.233735736229006,1048.8448369196406,499000.0
45,ASUS 비보북 고 15 E1504GA-BQ239,미포함(프리도스),인텔 / 코어i3 / i3-N305 (1.8GHz) / 옥타(8)코어,DR4(온보드) / 램 용량: 8GB / 램 교체: 불가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.63,,10287.0,308.0,15.6,141.0,250.0,60.0,ASUS,5.192698859442411,1307.9845993557708,397000.0
46,ASUS 비보북 고 15 E1504GA-BQ239 WIN11 16GB램,윈도우11(설치),인텔 / 코어i3 / i3-N305 (1.8GHz) / 옥타(8)코어,DR4(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.63,,10287.0,308.0,15.6,141.0,250.0,60.0,ASUS,5.233021440087572,1348.7168660019515,478000.0
47,ASUS 비보북 고 15 OLED E1504FA-R7532D,미포함(프리도스),AMD / 라이젠5(Zen2) / 7520U (2.8GHz) / 쿼드(4)코어,PDDR5(온보드) / 램 용량: 16GB / 5500MHz / 램 교체: 불가능,내장그래픽 / Radeon 610M,M.2(NVMe) / 256GB,배터리: 50Wh / 어댑터: 65W / 충전단자: DC,1.63,,9699.0,537.0,15.6,141.0,400.0,60.0,ASUS,5.353527402895673,907.3775259145208,590000.0
48,ASUS 비보북 프로 15 OLED M6500QE-MA001 WIN11,윈도우11(설치),AMD / 라이젠7-4세대 / 5800H (3.2GHz) / 옥타(8)코어,DR4 / 램 용량: 16GB,외장그래픽 / RTX3050 Ti / VRAM:4GB,M.2(NVMe) / 512GB,배터리: 70Wh / 어댑터: 120W / 충전단자: DC,1.8,USB-PD,20510.0,1299.0,15.6,141.0,600.0,120.0,ASUS,5.80495389142246,543.0824398602718,1158890.0
49,ASUS 비보북 프로 16 K6602VV-KV141W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4060 / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 70Wh / 어댑터: 150W / 충전단자: DC,1.9,USB-PD,30294.0,1445.0,16.0,138.0,500.0,120.0,ASUS,5.961570104074228,264.95867129218794,2340000.0
50,ASUS 젠북 14X OLED UX3404VA-M9129W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 70Wh / 어댑터: 90W / 충전단자: 타입C,1.56,USB-PD,30294.0,1445.0,14.5,152.0,600.0,120.0,ASUS,6.019833069337607,358.35325975602774,1769860.0
51,ASUS 젠북 15 UM3504DA-BN144,미포함(프리도스),AMD / 라이젠5(Zen3+) / 7535U (2.9Hz) / 헥사(6)코어,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Radeon 660M,M.2(NVMe) / 512GB,배터리: 67Wh / 어댑터: 65W / 충전단자: 타입C,1.5,USB-PD,17419.0,1571.0,15.6,141.0,300.0,60.0,ASUS,5.719797000847284,556.3734254994683,1028050.0
